player_id,fs_ba
592332,0.192
502171,0.244
592836,0.195
664062,0.113
593423,0.177
641816,0.236
543135,0.181
660271,0.125
663986,0.153
642585,0.087
543606,0.259
641941,0.259
593576,0.173
617228,0.192
506433,0.138
657024,0.129
573186,0.29
661395,0.269
592773,0.189
